window;grid_id;n_trades;pnl_rub;win_rate_pct;profit_factor;max_drawdown_pct;final_equity_rub;game_over;win_windows;n_windows;win_share;from;to
2025-05..2025-07;breakeven_2_0;330;6860.36;21.2;1.6;3.36;56860.36;False;9;9;1.0;2025-05;2025-07
2025-08..2025-10;ref139;375;4475.01;42.7;1.37;3.95;54475.01;False;9;9;1.0;2025-08;2025-10
2025-08..2025-10;tight_after_take;392;4956.03;49.5;1.46;3.47;54956.03;False;9;9;1.0;2025-08;2025-10
2025-08..2025-10;late_conservative;367;4425.82;37.3;1.34;3.69;54425.82;False;9;9;1.0;2025-08;2025-10
2025-08..2025-10;three_step_steady;392;4810.78;49.2;1.44;3.55;54810.78;False;9;9;1.0;2025-08;2025-10
2025-08..2025-10;two_step_aggressive;382;5142.58;43.2;1.41;3.85;55142.58;False;9;9;1.0;2025-08;2025-10
2025-08..2025-10;ultra_late_tight;383;5186.48;43.3;1.42;3.54;55186.48;False;9;9;1.0;2025-08;2025-10
2025-08..2025-10;single_step_2_15;363;3877.58;42.7;1.33;4.62;53877.58;False;9;9;1.0;2025-08;2025-10
2025-08..2025-10;breakeven_2_0;313;2705.74;20.1;1.26;4.18;52705.74;False;9;9;1.0;2025-08;2025-10
2025-11..2026-01;ref139;431;5202.33;40.1;1.58;0.91;55202.33;False;9;9;1.0;2025-11;2026-01
2025-11..2026-01;tight_after_take;433;4610.76;47.3;1.6;1.09;54610.76;False;9;9;1.0;2025-11;2026-01
2025-11..2026-01;late_conservative;421;5541.37;35.9;1.56;1.1;55541.37;False;9;9;1.0;2025-11;2026-01
2025-11..2026-01;three_step_steady;431;4859.97;48.0;1.64;1.09;54859.97;False;9;9;1.0;2025-11;2026-01
2025-11..2026-01;two_step_aggressive;431;5779.38;41.1;1.64;1.05;55779.38;False;9;9;1.0;2025-11;2026-01
2025-11..2026-01;ultra_late_tight;431;5772.8;41.1;1.64;1.02;55772.8;False;9;9;1.0;2025-11;2026-01
2025-11..2026-01;single_step_2_15;431;4847.21;39.9;1.54;1.16;54847.21;False;9;9;1.0;2025-11;2026-01
2025-11..2026-01;breakeven_2_0;391;6419.15;22.8;1.74;1.55;56419.15;False;9;9;1.0;2025-11;2026-01
2026-02..2026-04;ref139;414;745.39;37.7;1.09;1.28;50745.39;False;9;9;1.0;2026-02;2026-04
2026-02..2026-04;tight_after_take;414;1375.27;45.2;1.19;1.05;51375.27;False;9;9;1.0;2026-02;2026-04
2026-02..2026-04;late_conservative;413;1502.64;34.1;1.17;1.68;51502.64;False;9;9;1.0;2026-02;2026-04
2026-02..2026-04;three_step_steady;414;1512.2;44.2;1.2;1.1;51512.2;False;9;9;1.0;2026-02;2026-04
2026-02..2026-04;two_step_aggressive;414;1302.02;38.6;1.15;1.2;51302.02;False;9;9;1.0;2026-02;2026-04
2026-02..2026-04;ultra_late_tight;414;1365.9;38.6;1.16;1.15;51365.9;False;9;9;1.0;2026-02;2026-04
2026-02..2026-04;single_step_2_15;414;593.47;37.4;1.07;1.4;50593.47;False;9;9;1.0;2026-02;2026-04
2026-02..2026-04;breakeven_2_0;410;1077.75;16.3;1.12;2.37;51077.75;False;9;9;1.0;2026-02;2026-04
2026-05..2026-07;ref139;617;7634.81;42.1;1.44;1.89;57634.81;False;9;9;1.0;2026-05;2026-07
2026-05..2026-07;tight_after_take;640;8328.07;47.0;1.52;1.79;58328.07;False;9;9;1.0;2026-05;2026-07
2026-05..2026-07;late_conservative;597;7398.7;37.4;1.39;2.51;57398.7;False;9;9;1.0;2026-05;2026-07
2026-05..2026-07;three_step_steady;635;8030.58;47.2;1.5;1.8;58030.58;False;9;9;1.0;2026-05;2026-07
2026-05..2026-07;two_step_aggressive;624;10513.37;42.1;1.59;1.79;60513.37;False;9;9;1.0;2026-05;2026-07
2026-05..2026-07;ultra_late_tight;624;10201.02;42.3;1.57;1.79;60201.02;False;9;9;1.0;2026-05;2026-07
2026-05..2026-07;single_step_2_15;601;9258.83;41.1;1.55;2.0;59258.83;False;9;9;1.0;2026-05;2026-07
2026-05..2026-07;breakeven_2_0;547;9732.63;19.4;1.62;1.97;59732.63;False;9;9;1.0;2026-05;2026-07
2026-08..2026-08;ref139;157;2485.7;40.1;1.6;0.85;52485.7;False;9;9;1.0;2026-08;2026-08
2026-08..2026-08;tight_after_take;157;2437.0;46.5;1.66;0.88;52437.0;False;9;9;1.0;2026-08;2026-08
2026-08..2026-08;late_conservative;157;2861.38;37.6;1.65;0.99;52861.38;False;9;9;1.0;2026-08;2026-08
2026-08..2026-08;three_step_steady;157;2293.46;46.5;1.63;0.92;52293.46;False;9;9;1.0;2026-08;2026-08
2026-08..2026-08;two_step_aggressive;157;2741.95;40.1;1.66;0.77;52741.95;False;9;9;1.0;2026-08;2026-08
2026-08..2026-08;ultra_late_tight;157;3011.61;40.1;1.72;0.82;53011.61;False;9;9;1.0;2026-08;2026-08
2026-08..2026-08;single_step_2_15;157;2790.62;40.1;1.67;0.85;52790.62;False;9;9;1.0;2026-08;2026-08
2026-08..2026-08;breakeven_2_0;153;1691.62;19.6;1.39;1.92;51691.62;False;9;9;1.0;2026-08;2026-08
